,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
346,Mozambique,4341,,,26,2579
347,Suriname,4320,,+1,77,3426
348,Cuba,4309,+11,+1,101,3590
349,Cabo Verde,4275,,,42,3611
350,Uganda,3667,+128,+2,41,1564
351,Thailand,3444,+6,,58,3281
352,Mayotte,3374,,,40,2964
353,Somalia,3362,+30,,97,2696
354,Gambia,3197,+46,,99,1315
355,Slovenia,3165,+43,,135,2483
356,Sri Lanka,3122,+1,,12,2925
357,Syria,3104,,,130,715
358,Lithuania,3083,+43,,86,1954
359,Jamaica,3024,+60,+2,32,950
360,Angola,2935,,,117,1192
361,Mali,2842,+9,+1,127,2238
362,South Sudan,2544,,,48,1290
363,Estonia,2516,+25,,64,2170
364,Bahamas,2506,+30,+1,56,948
365,Aruba,2428,,,14,1206
366,Jordan,2411,+58,,16,1756
367,Guinea-Bissau,2245,,,38,1127
368,Trinidad and Tobago,2234,+4,,33,724
369,Réunion,2222,+107,+2,13,1313
370,Benin,2213,,,40,1793
371,Iceland,2136,,,10,2038
372,Sierra Leone,2054,+13,,71,1611
373,Malta,2039,+25,,14,1627
374,Botswana,2002,,,8,493
375,Yemen,1983,,,572,1197
376,New Zealand,1772,+5,,24,1632
377,Uruguay,1669,,,45,1459
378,Georgia,1650,+29,,19,1310
379,Cyprus,1507,,,21,1237
380,Togo,1477,,,32,1094
381,Guyana,1459,,,46,921
382,Latvia,1428,+3,,35,1187
383,Myanmar,1419,+166,+1,8,385
384,Burkina Faso,1408,,,55,1098
385,Guadeloupe,1363,,,18,336
386,Liberia,1306,,,82,1163
387,Andorra,1215,,,53,928
388,Belize,1194,,,15,287
389,Niger,1177,,,69,1091
390,Lesotho,1148,,,31,528
391,Vietnam,1049,,,35,815
392,Chad,1034,,,77,914
393,Sao Tome and Principe,898,,,15,859
394,Martinique,758,,,18,98
395,San Marino,716,,,42,660
396,Diamond Princess,712,,,13,651
